type_of_textile,qty_exported,countries_exported,type_of_product,price_of_product,year_of_export,month_of_export,customer_name,seller_name
cotton,180,Germany,shirt,266.09,2021,10,Jessica Gonzales,Jeanne Sanchez
rayon,180,United States,pants,506.71,2022,1,Brooke Dunlap,Allen Brown
batik,185,Italy,skirt,84.14,2020,8,Samuel Rodriguez,Natalie Walker
polyester,425,Australia,blouse,771.75,2021,4,Colleen Jackson,Alex Irwin
rayon,253,Japan,scarf,224.99,2022,8,Melanie Horn,Aaron Warner
silk,162,Japan,pants,143.99,2022,2,Timothy Waller,Shelby Figueroa
batik,168,France,bags,935.19,2020,11,Matthew Murphy,Carrie Mcintyre
polyester,447,Canada,shawl,458.37,2020,4,Nicholas Short,Leslie Davis
batik,376,New Zealand,shirt,316.3,2020,11,Carrie Brown,Robert Higgins
polyester,359,New Zealand,headwear,698.94,2020,8,Marc Irwin,Seth Cook
cotton,183,New Zealand,shirt,910.74,2021,3,Michael Smith,Timothy Anderson
linen,143,United Kingdom,jacket,348.37,2021,1,Jeremy Wagner,Willie Whitney
batik,134,Spain,skirt,114.6,2020,2,Justin Parks,Crystal Odom
batik,337,Italy,jacket,289.95,2022,7,Jason Blevins,Karen Olsen
silk,225,Australia,bags,350.08,2021,10,Steven Carpenter,Lindsey Harrison
batik,464,Italy,shirt,76.29,2022,12,Stephen Baker,Janice Ingram
rayon,438,Spain,scarf,882.73,2021,7,Steven Watson,Neil Henderson
linen,198,Germany,bags,121.88,2022,9,Jennifer Lloyd,Jonathan Lamb
rayon,270,Canada,pants,9.91,2020,10,Drew Jackson,Scott Rodriguez
batik,351,Australia,skirt,368.57,2022,12,Christian Hale,Patricia Hogan
wool,40,South Korea,shawl,834.15,2021,12,Kenneth Reyes,Kathryn Martinez
batik,104,Japan,scarf,570.96,2022,2,Melanie Zimmerman,Barry Gomez
rayon,24,Hong Kong,skirt,47.61,2022,4,Sarah Bray,Justin Cooper
wool,199,United States,headwear,299.02,2022,9,Jessica Avila DVM,Patricia Martinez
silk,19,United Kingdom,blouse,315.15,2020,2,Martha Harrington,Janice Arias
rayon,210,Italy,blouse,902.76,2022,1,Ashlee Carpenter,Susan Perez
batik,367,Spain,pants,592.32,2020,9,Leslie Estrada,Richard Francis
polyester,214,Hong Kong,blouse,869.59,2022,8,Steven Smith,Diana Baker
rayon,20,France,skirt,102.12,2020,10,Michael White,Nancy Molina
rayon,148,Canada,shirt,775.91,2020,12,Kyle Lawson DDS,Marvin West
linen,135,China,headwear,625.02,2021,8,Cynthia Palmer,Nancy Warren
cotton,313,United Kingdom,pants,482.2,2021,6,April Moore,Julie Johnson
silk,446,South Korea,pants,463.62,2020,2,Travis Perez,George Moss
polyester,195,Australia,scarf,915.89,2021,9,Joanna Brown,Amber Burgess
silk,335,Germany,headwear,430.63,2021,5,Mrs. Valerie Gibbs DDS,Valerie Perez
silk,372,India,jacket,846.35,2021,11,Dr. Danielle Tucker,Victor Love
polyester,161,Canada,skirt,902.15,2021,5,Tiffany Mason,Eric Hatfield
batik,106,Germany,blouse,378.38,2020,7,Emily Jacobs,Mrs. Deanna Black
cotton,37,India,skirt,289.19,2021,2,Mark Buchanan,Bradley Ross
rayon,342,Germany,jacket,462.07,2020,4,Christopher Maldonado,Robert Jones
batik,421,France,jacket,744.97,2020,7,Tracy Watkins,Joseph Lee
cotton,490,Australia,pants,554.71,2020,7,Cheryl Mendoza,Susan Fleming
cotton,399,Germany,blouse,416.47,2020,4,Rachel Ramirez,Julie Ford
batik,408,China,pants,951.19,2022,3,Adam Schroeder,Michael Walsh
linen,184,Netherlands,pants,685.04,2020,12,Cynthia Griffin,Anne Jackson
silk,119,Germany,shawl,278.37,2021,8,Benjamin Sherman,Amanda Garcia
linen,403,Netherlands,shirt,523.41,2020,1,Kristin Brown,Sara Martin
cotton,239,France,headwear,789.56,2022,3,Charles Maldonado,Ronald Phillips
rayon,28,United Kingdom,skirt,435.87,2021,1,Adam Porter,Rebecca Weaver
polyester,270,Italy,shawl,718.1,2022,10,Gerald Meyer,Chris Jones
batik,498,Netherlands,dress,821.18,2020,1,Jennifer Lane,Jacob King
silk,306,Netherlands,shawl,854.28,2022,8,Krista Young,Stephanie Campbell
silk,215,Canada,skirt,35.93,2022,11,Cody Cain,Matthew Berry
wool,481,Australia,dress,809.32,2020,2,Michelle Juarez,Daniel Ochoa
wool,31,United States,jacket,922.52,2021,1,Rachel Martinez,Jesse Taylor
rayon,194,Netherlands,pants,971.74,2020,1,Gregory Gonzalez,Stephanie Schneider
rayon,342,New Zealand,pants,786.92,2021,4,Brandon Garcia,Tyler Osborne
rayon,165,China,scarf,643.99,2020,3,William Kelly,Kristopher Perry
linen,42,Italy,pants,533.39,2022,10,Donna Wilson,Eric Salazar
rayon,475,France,shawl,884.02,2021,4,Anna Green,David Meyers
batik,38,France,dress,767.56,2021,9,Roger Strong,Joseph Lewis
polyester,149,India,dress,537.74,2022,10,Douglas Beck,David Brandt
linen,341,United States,jacket,773.06,2022,6,Regina Hudson,Tiffany Smith
rayon,206,New Zealand,headwear,137.22,2021,11,Nicole Baird,Kimberly Jacobs
batik,318,Japan,dress,949.12,2022,6,Jeffery Richards,Robert Miller
batik,44,Canada,skirt,137.73,2022,12,Heather Raymond,Christine Ward
silk,488,Canada,headwear,118.18,2022,8,Deborah Perez,Bryan Powell
wool,145,Australia,scarf,731.07,2020,5,Michelle Hernandez,Steve Petersen
linen,199,Hong Kong,shirt,475.58,2022,4,Christine Soto,Mary Bowman
cotton,437,United Kingdom,scarf,135.97,2022,4,Rachel Hernandez,Bruce Carter
linen,293,Japan,scarf,523.22,2020,1,Russell Lee,Rachel Ali
batik,321,Netherlands,pants,287.04,2022,2,Stephanie Haas,Lacey Alvarez
wool,102,Japan,headwear,339.68,2022,8,Eric White,Kenneth Rodriguez
linen,123,New Zealand,jacket,733.79,2020,3,Joshua Wilson,Alex Blanchard
rayon,298,United Kingdom,pants,15.54,2021,8,Wayne Carroll MD,Jenna Hess
polyester,358,India,headwear,552.97,2020,2,Lisa Kelly,Julie Mccoy
silk,461,United States,bags,485.29,2021,5,Ryan Lam,Kevin Conley
rayon,155,United States,skirt,693.05,2022,1,Amanda Gentry,Laura Brock
cotton,64,Germany,dress,837.68,2021,8,Marcus Meyers,Gina Williams
linen,466,Italy,scarf,821.87,2021,2,Brendan Thompson,Jose Hunt
silk,213,Netherlands,pants,741.96,2020,10,Dr. Jill Gibson,Kelsey Ward
batik,224,Italy,skirt,553.79,2021,2,Jesus Spencer,Michelle Wagner
polyester,343,Spain,blouse,876.06,2022,4,Ryan Jackson,Sabrina Hill
cotton,258,United Kingdom,headwear,915.35,2021,9,William Clements,Bruce Lopez
cotton,53,South Korea,pants,291.86,2022,2,Tricia Sutton,Justin Berry
polyester,14,Hong Kong,scarf,229.2,2020,5,Courtney Miles,Amy Nielsen
linen,164,Australia,skirt,873.04,2021,10,Elizabeth Wallace,Mr. Paul Levine
batik,184,United States,shawl,610.33,2021,6,Megan Campbell,Jeremy Jackson
silk,277,India,scarf,522.15,2021,4,Heather Torres,April Anderson
silk,486,United States,shirt,465.23,2022,2,Amy Barrett,Katie Deleon
wool,64,United Kingdom,jacket,231.33,2021,5,Eric Cohen,Kenneth White
silk,43,South Korea,shirt,926.05,2021,3,Michele Jenkins,John Thomas
polyester,151,Italy,shawl,827.38,2022,10,Kyle Austin,Brandon Marks
batik,51,Japan,shawl,902.01,2022,1,Cristina Bonilla,Andrea James
rayon,416,Italy,scarf,326.46,2020,7,Raymond Cooper DDS,David Crosby
cotton,51,India,skirt,46.13,2020,6,Joshua Price,Jeffrey Anderson
wool,197,United States,dress,919.24,2021,7,Timothy Garcia,Eduardo Parker
silk,106,India,bags,315.09,2022,7,Candice Malone,Jamie Shannon
silk,73,Germany,shawl,39.48,2021,4,Stephen Spears,Nancy Hart
silk,205,France,shawl,811.01,2021,6,Eric Johnson,Kelsey Green
linen,393,United States,jacket,742.83,2021,5,Monica Brown,Dan Thomas
rayon,61,Hong Kong,shirt,150.64,2021,5,Tricia Cervantes,Richard Cole
silk,196,Japan,blouse,969.51,2021,10,Dylan Pugh,Donald Thomas
wool,1,India,jacket,282.49,2021,1,Amber Wilson,Catherine Lopez
silk,362,Spain,shawl,962.18,2021,10,Gary Klein,Sara Butler
rayon,34,India,headwear,400.55,2020,7,Allison Harris,Shawn Johnson
wool,49,Netherlands,skirt,415.82,2021,2,Andrew Grimes,Leah Parker
wool,315,United Kingdom,blouse,840.81,2022,2,Loretta Sanchez,Erin Walters
polyester,219,Italy,pants,879.75,2021,9,Daniel Petty,Erin Richards
cotton,103,Italy,pants,851.18,2020,11,Melody Baker,Elizabeth Bailey
linen,38,New Zealand,skirt,490.23,2020,7,Albert Lee,Javier Ortiz
linen,223,France,dress,896.38,2021,12,Andrew Brooks,Roberta Yoder
silk,475,United States,shirt,963.67,2021,6,Natasha Smith,Alex Brown
batik,170,Germany,shawl,667.11,2022,5,Earl Richmond,Daniel Brady
wool,216,Netherlands,pants,394.7,2021,11,Michelle Sanchez,Annette Lyons
wool,267,Hong Kong,jacket,757.18,2022,5,Tina Price,Marie Parker
cotton,303,United States,dress,939.88,2022,4,Reginald Perkins,Norma Harmon
cotton,480,France,headwear,167.32,2020,9,Angelica Ruiz,Chelsea Kelly
wool,280,United States,scarf,996.58,2022,3,Casey Young,Anne Ward DDS
rayon,335,New Zealand,shawl,311.59,2021,10,Matthew Hughes,Stephanie Santos
linen,395,Spain,jacket,699.5,2022,12,Bradley Peterson,Steven Cunningham
rayon,418,United States,jacket,925.21,2022,6,Nancy Pugh,Kimberly Powers
polyester,315,Netherlands,skirt,189.16,2020,7,Travis Roberts,Jamie Christensen
silk,30,United States,shawl,638.95,2020,6,Amy Johnson DDS,Deborah Freeman
silk,201,Italy,headwear,186.77,2020,7,Joanna Vazquez,Katherine Gonzalez
linen,176,United Kingdom,shirt,824.82,2021,8,Christopher Lawrence,Charlotte Mitchell
batik,172,United States,pants,278.63,2020,8,John Ross,John Buchanan
linen,276,South Korea,jacket,464.91,2020,9,Terri Smith,Sandra King
wool,496,China,shirt,64.88,2021,7,Madison Graves,Colleen Butler
batik,419,China,skirt,807.31,2021,8,Caroline Warren,Elizabeth Davis
silk,96,Italy,scarf,924.1,2022,3,Ryan Lewis,Anna Lindsey
polyester,65,New Zealand,scarf,349.77,2020,2,Kirsten Sims,Robert Johnson
wool,266,Spain,headwear,691.64,2022,10,David Jones,James Gardner
batik,290,Hong Kong,pants,485.34,2020,2,Steven Baker,Thomas Perez
cotton,312,United Kingdom,shirt,797.21,2020,5,Brittany Hines,Dr. Sarah Mercado MD
linen,373,United States,shawl,813.85,2021,4,Erin Nichols,Alexander Khan
wool,331,United States,headwear,295.09,2020,9,Lisa Velasquez,Andrew Long
cotton,161,China,scarf,257.86,2020,9,Julia Fisher,Lauren Perez
polyester,353,Hong Kong,bags,209.47,2022,6,Andre Hicks,Glenn Reed
silk,109,China,shawl,923.85,2021,3,Dr. Jacob Gould,Brian Dean
polyester,276,China,bags,717.55,2020,12,Mr. Keith Brady,Jose Walker
rayon,61,Germany,shirt,375.68,2022,10,Sean Banks,Yolanda Jordan
batik,374,Germany,shirt,2.95,2020,12,Jerry Hill,Mike Scott
silk,57,Germany,jacket,443.18,2021,12,Wendy Gonzalez,Roger Lucero
polyester,32,India,scarf,297.77,2022,12,Molly Bell DVM,Justin Lopez
wool,304,New Zealand,jacket,692.08,2021,1,Ian Mann,Lauren Drake
linen,458,United Kingdom,shirt,85.63,2021,4,Eric Levine,Matthew Miles
silk,228,Canada,shawl,561.41,2020,4,David Padilla,James Hester
batik,12,United Kingdom,blouse,550.3,2022,6,Alicia Navarro,Brad Gilbert
wool,200,Spain,blouse,809.9,2020,3,Alexis Johnson,Leroy Garcia
linen,491,Canada,headwear,887.91,2022,11,Stacey Campbell,Barbara Reid
polyester,209,Germany,headwear,319.53,2021,3,Andrew Ibarra,Joshua Hernandez
wool,157,Italy,blouse,158.69,2021,6,Eric Miller,Douglas Hicks
linen,160,Italy,skirt,837.96,2021,6,James Anderson,Thomas Jones
batik,247,Hong Kong,skirt,144.44,2020,8,Melissa Blake,Paul Hamilton
linen,448,China,shawl,13.54,2020,10,Alyssa Walker,Katherine Williams
wool,31,Canada,shawl,359.3,2020,4,Olivia Donovan,David Sharp
polyester,288,Japan,pants,655.1,2020,4,Lisa Good,Rebecca Pittman
batik,468,Spain,blouse,238.37,2022,8,Kenneth Mcdonald,Alison Banks
cotton,278,Spain,headwear,273.58,2022,9,James Keller MD,Christopher Kaiser
silk,264,China,dress,545.48,2020,8,Robert Goodman,Eric Gordon
batik,286,New Zealand,blouse,47.46,2020,6,Jessica Pollard,Veronica Anderson
wool,402,Spain,bags,436.73,2021,6,Megan White,Steven Jenkins
rayon,320,France,blouse,232.76,2021,3,Nicole Conrad,Christopher Cowan
batik,214,United States,skirt,768.2,2020,10,Crystal Hooper,Mary Graham
silk,39,United Kingdom,shirt,590.78,2021,2,Bradley West,Brandon Aguilar
batik,479,Japan,skirt,321.21,2022,6,Darren James,Jennifer Johnson
silk,98,Australia,dress,131.85,2020,3,Linda Freeman,Joseph Brown
wool,377,Hong Kong,blouse,833.29,2020,12,Vicki Moss,Eric White
silk,409,Canada,shirt,585.16,2021,5,Andrew Spencer,Carlos Hensley
silk,5,South Korea,blouse,319.22,2020,8,Larry Alvarez,Michael Boyd
wool,386,Germany,dress,344.52,2020,1,James Wade,David Lee
silk,298,Spain,headwear,95.92,2021,7,Jennifer Serrano,Jay Santos
silk,76,Japan,bags,165.56,2021,12,Charles Malone,Dustin Lindsey
cotton,15,Australia,blouse,206.32,2021,2,Johnny Miller,Devin Mccoy
polyester,454,Netherlands,shirt,140.79,2020,8,Jennifer Ortega,Renee Harmon
rayon,309,Canada,blouse,973.31,2022,8,Michael Bradford,Mr. Kevin Baker PhD
rayon,424,United States,shawl,972.44,2022,1,Tracey Lee,Nicole Bush
polyester,356,China,headwear,866.62,2021,9,Gary Owens,Johnny Alvarez
linen,130,Hong Kong,jacket,473.37,2020,5,Diana Mendoza,Arthur Davis
wool,392,France,shawl,832.7,2021,10,Carol Johnson,Aaron Palmer
polyester,34,Canada,headwear,904.19,2021,5,Michael Phillips,William Patterson
linen,27,France,dress,539.29,2021,10,Jeffrey Clark Jr.,Joshua Mora
batik,291,United Kingdom,dress,885.83,2020,1,Savannah Bernard,Jennifer Douglas
cotton,306,Spain,blouse,44.52,2021,2,Lisa Morales,Linda Nelson
silk,499,Italy,shirt,558.01,2022,12,Sheila Byrd,Cody Jordan
wool,369,United Kingdom,jacket,190.2,2022,3,Hailey Cervantes,Jill Hernandez
wool,10,Australia,shirt,640.02,2021,12,Vickie Morgan,Erica Johnston
polyester,423,France,shirt,277.18,2022,8,Kathryn Ballard,Marco Lee
rayon,8,China,shirt,578.41,2022,7,Leah Garrison,Kristi Harris
cotton,370,France,dress,259.62,2022,9,Mr. Thomas Cox,Tamara Novak
cotton,422,Spain,blouse,39.67,2022,11,Linda Hernandez,Michael Jackson
wool,150,Germany,shawl,212.88,2020,12,Dennis Martin,Ricardo Murray
rayon,167,Italy,pants,523.89,2022,7,Adam Sanchez,Leon Smith
batik,80,Canada,jacket,68.36,2020,5,Timothy Thompson,Bonnie Hudson
linen,127,Germany,skirt,371.15,2021,2,Diana Young,Mary Ward
polyester,207,Netherlands,jacket,683.01,2021,9,Samuel Calhoun,Charles Crosby
rayon,241,Hong Kong,skirt,852.27,2020,4,Michelle Williams,Keith Mcmahon
wool,177,United Kingdom,jacket,521.69,2020,7,Garrett Phillips,Dennis Doyle
wool,61,France,jacket,835.01,2022,11,Luis Aguilar,Margaret Miller
silk,154,Italy,skirt,437.19,2020,2,Dylan Daniel,Seth Butler
linen,190,New Zealand,dress,516.9,2022,7,Cory Oliver,James Stevens
linen,468,Japan,shawl,94.82,2020,5,Mitchell Duncan,Emily Harris
rayon,94,Netherlands,bags,754.21,2022,7,Johnny Wagner,Jessica French
polyester,4,Japan,skirt,692.8,2020,4,Connor Holmes,Lauren Greene
wool,195,China,blouse,910.91,2020,10,Phillip Bright,William Stephens
linen,209,South Korea,blouse,928.09,2020,4,Jessica Taylor,Natalie Gordon
batik,155,United Kingdom,shawl,999.87,2021,6,Jessica Barr,Michele Parker
linen,397,United Kingdom,jacket,177.61,2022,8,Brittany Riley,Brianna Barnes
silk,139,Spain,shirt,613.08,2021,10,Ronald Lane,Melanie James
silk,387,Spain,shawl,29.1,2021,2,Antonio Lopez,Jerry Welch
batik,329,South Korea,pants,89.67,2022,11,Crystal Cantu,Brian Rocha
batik,256,Netherlands,scarf,147.1,2021,1,Theresa Walker,Alan Baker
rayon,371,United Kingdom,jacket,225.8,2022,8,James Dominguez,Laura Hayes
cotton,51,Italy,scarf,418.96,2022,1,Donna Gaines,Sandra Love
rayon,305,South Korea,scarf,807.71,2022,5,Janet Chen,Derek Wu
polyester,245,United States,shirt,373.58,2021,4,Maria Donovan,Michael Gonzalez
cotton,237,Canada,bags,780.54,2022,8,James Walker,Kathleen Martinez
rayon,495,Hong Kong,pants,697.79,2021,3,Angela Chen,Jeffery Brown
rayon,187,France,shawl,537.69,2021,3,Jessica Welch,Carolyn Estrada
batik,432,Italy,blouse,958.18,2021,2,Stacey Meyer,Anne Hawkins
wool,208,Germany,jacket,737.9,2022,10,Nicole Cobb,Megan Clark
rayon,11,Hong Kong,bags,258.56,2022,10,Cindy Rivera,Erika Donaldson
linen,176,India,shawl,204.57,2020,6,Kimberly Nelson,Tammy Porter
linen,309,Italy,skirt,328.19,2020,5,Xavier Dennis,Benjamin Ward
cotton,231,Canada,pants,593.21,2022,8,Mario Silva,Brandon Smith
cotton,268,Germany,pants,913.79,2020,5,Pamela Powell,Lindsay Browning DDS
batik,466,Netherlands,jacket,243.97,2020,10,Cindy Norris PhD,Justin Dawson
cotton,132,France,skirt,129.04,2020,3,David Fitzgerald,Jennifer Griffin
cotton,249,Netherlands,bags,829.44,2020,7,Cynthia Barton,Anthony Clayton
cotton,62,Japan,jacket,566.15,2020,3,Elizabeth Little,Sara Johnson
cotton,223,China,skirt,860.7,2020,8,George Rogers,Laurie Hill
wool,33,Spain,blouse,658.53,2021,6,Jeffery Baker,Heather Costa
rayon,46,Australia,skirt,558.55,2020,9,Tyler Jackson,Christopher Barnes
silk,211,India,jacket,746.01,2021,6,Wanda Schwartz DDS,Alexis Clark
rayon,458,Australia,skirt,544.04,2021,2,Austin Vance,Joy Smith
polyester,331,New Zealand,scarf,65.94,2020,7,Andrew Simmons MD,Mrs. Barbara Washington
silk,10,Netherlands,shirt,147.14,2021,10,Mr. Christopher Hartman,Brittney Huber
rayon,62,India,shawl,46.29,2020,5,Taylor Garza,Terry Wright
batik,360,Canada,shirt,990.82,2020,7,Tamara Cox,Christopher Lee
wool,351,France,scarf,885.24,2022,10,Stephanie Anderson,Melissa Barrera
rayon,30,Germany,shawl,795.34,2020,10,Tammy Morales,Jennifer Perez
linen,248,Italy,jacket,805.4,2020,2,Jason Bautista,Mrs. Melissa Johnson
silk,60,Germany,headwear,767.33,2020,5,Ashley Howell,Bryce Weiss
cotton,271,Germany,blouse,141.86,2020,1,William Kelly,James Simmons
cotton,256,China,headwear,107.21,2021,3,Gary Hudson,Benjamin Zimmerman
cotton,328,Netherlands,shawl,675.44,2021,9,Vicki Shannon,David Moreno
polyester,193,Japan,shirt,709.02,2021,4,Katherine Mcguire,Samantha Rhodes
wool,386,New Zealand,blouse,682.94,2021,3,Todd May,Christine Garcia DDS
batik,215,Australia,blouse,812.26,2021,9,Gloria Wagner,Mary Roberts
wool,234,Australia,headwear,351.23,2020,3,Terry Williams,Amber Moses
rayon,55,Australia,headwear,372.29,2020,8,Timothy Sosa,Nicholas Smith
silk,55,South Korea,shawl,728.59,2020,4,Adam Mayo,Kelly West
linen,120,Germany,shirt,698.1,2022,3,Timothy Adams,Kimberly Bolton
linen,1,Hong Kong,scarf,49.39,2022,6,Nicole Massey,Steven Williams
silk,332,India,shirt,101.79,2021,4,Patricia Henry,Anna Bullock
batik,236,Spain,headwear,24.24,2021,2,Kathy Harris,Justin Simmons
batik,170,Australia,jacket,908.65,2022,12,Roger Smith,Jonathan Brown
batik,388,Germany,shawl,708.91,2021,12,Cesar Garrison,Harry Wagner
cotton,329,Australia,pants,990.87,2021,12,Brandon Phillips,John Hernandez
rayon,109,Canada,scarf,495.88,2020,1,Andrea Moses,Angela Soto
wool,143,South Korea,headwear,251.91,2020,4,Laura Jimenez,Brandy Nicholson
linen,492,Germany,scarf,851.76,2021,5,Teresa Valencia,Shelby Lopez
linen,486,New Zealand,headwear,672.86,2021,2,Amber Hoover,Lawrence Coleman
batik,119,Japan,blouse,321.56,2022,9,Joshua King,Abigail Peterson
rayon,246,New Zealand,bags,175.6,2021,6,Linda Cuevas,Katrina Patterson
rayon,317,Australia,blouse,796.06,2022,5,Carl Ross,Melissa Brewer
rayon,497,Italy,dress,799.12,2021,6,Sabrina Smith,Madison Dixon
polyester,408,Netherlands,jacket,435.57,2021,8,Jessica Anderson,Joshua Conner
silk,327,Germany,bags,248.63,2021,4,Erika Ward,Kelly Robinson
wool,380,Spain,dress,778.86,2020,4,Dr. Michael Wolf,Jeffrey Mercado
batik,148,Canada,jacket,660.53,2021,3,Julie Murray,Daniel Rogers
batik,433,New Zealand,skirt,725.35,2022,11,Cheryl Jackson,Rebecca Rios
batik,355,Hong Kong,scarf,414.44,2020,6,Timothy Berger,Nicolas Allison
wool,420,United States,dress,732.28,2020,6,Steven Bailey,Tiffany Newman
wool,407,Japan,blouse,671.66,2022,11,Paul Robbins,Beth White
batik,208,Germany,bags,757.08,2021,2,Theresa Daniels,Karen Jones
batik,8,Canada,jacket,839.42,2022,3,Derek Wilson,Alex Simmons
batik,100,Netherlands,headwear,950.22,2020,8,Jennifer Smith,Lee Warren
silk,425,Italy,blouse,942.3,2021,2,John Fischer,Robin Jenkins
silk,412,Spain,shirt,369.66,2022,3,Colin Jackson,Manuel Leach
batik,445,Germany,scarf,570.27,2020,4,Erik Beltran,Kenneth Winters
rayon,326,Hong Kong,blouse,578.63,2022,2,Virginia Green,Susan Diaz
rayon,458,Canada,shawl,210.94,2021,9,Philip Gordon,Stacy Moore
cotton,210,United States,bags,573.65,2020,4,Andre Jefferson,Tommy Ross
rayon,53,Spain,dress,718.66,2022,1,Christine Rosales MD,Vincent Reed
polyester,126,United Kingdom,shawl,640.29,2020,6,Bobby Holmes,Sandra Torres
linen,191,France,pants,806.45,2022,10,Carol Green,Aaron Conway
wool,230,Hong Kong,blouse,901.61,2020,7,Cheryl Barker,Joseph Glenn
wool,437,Italy,pants,140.68,2021,9,Robert Smith,Kevin Alvarado
rayon,20,New Zealand,bags,469.38,2022,9,Amy Cannon,Tracy Reynolds
wool,335,United Kingdom,headwear,276.23,2020,11,Laura Wallace,Yolanda Anderson
rayon,170,South Korea,skirt,931.36,2022,4,Joseph Hernandez,Scott Moore
linen,384,South Korea,skirt,870.33,2022,8,Clifford Walker,Lindsay Fuentes
rayon,381,Italy,scarf,92.81,2021,2,Michael Saunders,Dean Nguyen
polyester,231,Australia,jacket,826.25,2020,7,Randall Andrews,Danielle Barry
